product,brand,category,sub_category,description,text
"Fairness Cream - Fair & Handsome, For Men",FAIR AND HANDSOME,Beauty & Hygiene,Men's Grooming,"Emami Fairness Cream is a fair complexion has always been related to popularity and success. Women and men identical desire fairness, it is trusted to be the key to a successful life. Fine for women the market is loaded with fairness cream but for men there has not been a single fairness cream.For Beauty tips, tricks & more visit https://bigbasket.blog/","Fairness Cream - Fair & Handsome, For Men FAIR AND HANDSOME Beauty & Hygiene Men's Grooming Emami Fairness Cream is a fair complexion has always been related to popularity and success. Women and men identical desire fairness, it is trusted to be the key to a successful life. Fine for women the market is loaded with fairness cream but for men there has not been a single fairness cream.For Beauty tips, tricks & more visit https://bigbasket.blog/"
Whitening Toothpaste With Rock Salt,Lever Ayush,Beauty & Hygiene,Oral Care,"Ayush Whitening toothpaste is formulated with 5000 years of Ayurvedic wisdom to remove stains for whiter teeth. It contains the goodness of Rock Salt (Sendha Namak) & Arimedas Tailam. Rock Salt (Sendha Namak) is the healthiest form of salt in Ayurveda. It is known since centuries as a powerful solution for whitening of teeth. Arimedas Tailam is an Ayurvedic oil that is most recommended for oral health. This toothpaste is a unique blend made using 40 natural herbs, which are known to make teeth stronger and prevent tooth decay.The Ayush range of products has been carefully crafted with authentic recipes and processes prescribed in the ancient Granthas. Traditionally, Ayurvedic ingredients are consciously picked at a certain time of the day, when they are most potent to create extremely effective Ayurvedic solutions. Lever Ayush uses the most powerful ingredients that are highly beneficial to the skin, hair & teeth. The goodness of ingredients like Turmeric (Haldi), Saffron (Kesar), Cow's Ghee, Cardamom and Rock Salt have been used to formulate products that address our most worrying beauty problems.At Lever Ayush, we strive to make ancient Ayurvedic wisdom accessible to solve modern-day beauty problems. We believe that the solution to our beauty problems lies in the 5000-year-old Ayurvedic Granthas, that prescribe the way to solve these problems from the root. We work with one of the world’s premier Ayurvedic institutes, Arya Vaidya Pharmacy (AVP) to make products that use the right ingredients to make them unique and incredibly effective.","Whitening Toothpaste With Rock Salt Lever Ayush Beauty & Hygiene Oral Care Ayush Whitening toothpaste is formulated with 5000 years of Ayurvedic wisdom to remove stains for whiter teeth. It contains the goodness of Rock Salt (Sendha Namak) & Arimedas Tailam. Rock Salt (Sendha Namak) is the healthiest form of salt in Ayurveda. It is known since centuries as a powerful solution for whitening of teeth. Arimedas Tailam is an Ayurvedic oil that is most recommended for oral health. This toothpaste is a unique blend made using 40 natural herbs, which are known to make teeth stronger and prevent tooth decay.The Ayush range of products has been carefully crafted with authentic recipes and processes prescribed in the ancient Granthas. Traditionally, Ayurvedic ingredients are consciously picked at a certain time of the day, when they are most potent to create extremely effective Ayurvedic solutions. Lever Ayush uses the most powerful ingredients that are highly beneficial to the skin, hair & teeth. The goodness of ingredients like Turmeric (Haldi), Saffron (Kesar), Cow's Ghee, Cardamom and Rock Salt have been used to formulate products that address our most worrying beauty problems.At Lever Ayush, we strive to make ancient Ayurvedic wisdom accessible to solve modern-day beauty problems. We believe that the solution to our beauty problems lies in the 5000-year-old Ayurvedic Granthas, that prescribe the way to solve these problems from the root. We work with one of the world’s premier Ayurvedic institutes, Arya Vaidya Pharmacy (AVP) to make products that use the right ingredients to make them unique and incredibly effective."
"Gift Box - Assorted Nut & Seed Butters, Dairy Free, Lactose Free, Plant Based Nutrition, Vegan, 100% Natural",Jus Amazin,Gourmet & World Food,"Sauces, Spreads & Dips","This assorted nut and seed butter gift box is ideal for anyone who is seeking to gift a loved one a delicious and nutritious treat. The box has a mix of 4 of our most popular flavours (in 55 gm jars) - Almond Butter With Crunchy Flax Seeds, Cashew Butter Salted Caramel, Multi-Seed Butter with Crunchy Flax And Sunflower Seeds and Peanut Butter Sweet 'N' Salty (with 100% organic ingredients). It is a High Protein,100% Organic, Zero Chemicals, No Artificial Preservatives, No Hydrogenated Fats, No Refined Sugar, Vegan, Dairy-Free, Gluten-Free, Lactose-Free and Soy Free.","Gift Box - Assorted Nut & Seed Butters, Dairy Free, Lactose Free, Plant Based Nutrition, Vegan, 100% Natural Jus Amazin Gourmet & World Food Sauces, Spreads & Dips This assorted nut and seed butter gift box is ideal for anyone who is seeking to gift a loved one a delicious and nutritious treat. The box has a mix of 4 of our most popular flavours (in 55 gm jars) - Almond Butter With Crunchy Flax Seeds, Cashew Butter Salted Caramel, Multi-Seed Butter with Crunchy Flax And Sunflower Seeds and Peanut Butter Sweet 'N' Salty (with 100% organic ingredients). It is a High Protein,100% Organic, Zero Chemicals, No Artificial Preservatives, No Hydrogenated Fats, No Refined Sugar, Vegan, Dairy-Free, Gluten-Free, Lactose-Free and Soy Free."
Tomato Garlic Sauce,BENGAMESE,Gourmet & World Food,Cooking & Baking Needs,"Homegrown in Pune, Bengamese was curated from a vision to make diverse pocket - friendly, multi-cultural cuisine accessible to foodies both back home in India and across the Globe.
We guarantee lip-smacking pickles, sauces and ready to cook marinades, as our secret is following centuries-old recipes which have been passed down through the generations and sourcing locally down farm - fresh produce.","Tomato Garlic Sauce BENGAMESE Gourmet & World Food Cooking & Baking Needs Homegrown in Pune, Bengamese was curated from a vision to make diverse pocket - friendly, multi-cultural cuisine accessible to foodies both back home in India and across the Globe.
We guarantee lip-smacking pickles, sauces and ready to cook marinades, as our secret is following centuries-old recipes which have been passed down through the generations and sourcing locally down farm - fresh produce."
Mukhallat Khas Concentrated Oriental Perfume Free From Alcohol For Unisex,Ajmal,Beauty & Hygiene,Fragrances & Deos,"A special oriental blend that will appeal to individuals looking for a traditional fragrance that is reminiscent of traditions and heritage. A fragrance that combines traditional yet classic ingredients like Amber, Hina, Rose and Musk to create a floral fresh, Green Musky accord that lingers with warm sweet Ambery notes.","Mukhallat Khas Concentrated Oriental Perfume Free From Alcohol For Unisex Ajmal Beauty & Hygiene Fragrances & Deos A special oriental blend that will appeal to individuals looking for a traditional fragrance that is reminiscent of traditions and heritage. A fragrance that combines traditional yet classic ingredients like Amber, Hina, Rose and Musk to create a floral fresh, Green Musky accord that lingers with warm sweet Ambery notes."
Bottle Corkscrew,Fackelmann,"Kitchen, Garden & Pets",Kitchen Accessories,"Fackelmann Bottle Corkscrew, 1 Pc","Bottle Corkscrew Fackelmann Kitchen, Garden & Pets Kitchen Accessories Fackelmann Bottle Corkscrew, 1 Pc"
"Bathing Soap - Malai Cream (for Smooth, Radiant & Nourished Skin)",Sri Sri Tattva,Beauty & Hygiene,Bath & Hand Wash,"New Malai Cream Soap is rich in milk cream to make your skin soft, Suppe and glowing, The natural ingredients gently penetrate into the skin pores and remove all dirt and grime while mourishing it from deep within, keeping your skin moisturised and soft, Malai brings a soft glow and radiance that makes you shine all day.  For Beauty tips, tricks & more visit https://bigbasket.blog/","Bathing Soap - Malai Cream (for Smooth, Radiant & Nourished Skin) Sri Sri Tattva Beauty & Hygiene Bath & Hand Wash New Malai Cream Soap is rich in milk cream to make your skin soft, Suppe and glowing, The natural ingredients gently penetrate into the skin pores and remove all dirt and grime while mourishing it from deep within, keeping your skin moisturised and soft, Malai brings a soft glow and radiance that makes you shine all day.  For Beauty tips, tricks & more visit https://bigbasket.blog/"
Hand Made Soap - Lemongrass,Wild Ideas,Beauty & Hygiene,Bath & Hand Wash,"Natural, Hand-Made soap that revitalizes skin, relieves muscular pain, and resists bacteria.","Hand Made Soap - Lemongrass Wild Ideas Beauty & Hygiene Bath & Hand Wash Natural, Hand-Made soap that revitalizes skin, relieves muscular pain, and resists bacteria."
Reviving Oxy Pack,Aroma Magic ,Beauty & Hygiene,Skin Care,"I am 100% free of parabens, harsh chemicals, alcohol, artificial fragrance, and color. Organic aloe vera gel and lavender essential oil combine together to detoxify, lock moisture, condition and heal your skin. I am a super quick fix for the dull, tired and sallow skin as I pump a shot of oxygen molecules that instantly detoxify and energize skin clogged by environmental factors such as pollution and sun damage. Extracts of grapefruit, witch hazel, and white lotus are antioxidants that stimulate blood circulation leaving your skin looked after and refreshed.","Reviving Oxy Pack Aroma Magic  Beauty & Hygiene Skin Care I am 100% free of parabens, harsh chemicals, alcohol, artificial fragrance, and color. Organic aloe vera gel and lavender essential oil combine together to detoxify, lock moisture, condition and heal your skin. I am a super quick fix for the dull, tired and sallow skin as I pump a shot of oxygen molecules that instantly detoxify and energize skin clogged by environmental factors such as pollution and sun damage. Extracts of grapefruit, witch hazel, and white lotus are antioxidants that stimulate blood circulation leaving your skin looked after and refreshed."
Hing,Eastern,"Foodgrains, Oil & Masala",Masalas & Spices,"Asafoetida, Oil Of Anise, Honey","Hing Eastern Foodgrains, Oil & Masala Masalas & Spices Asafoetida, Oil Of Anise, Honey"
